run_number,kind,target,repeat,glyph_count,smart_base_count,elapsed_seconds,status,font_size,log_file
42,base,_part.SMCP-stem,1,1686,1,2.89,ok,290624,logs/042_base_part.SMCP-stem_r1.log
43,base,_part.SMCP-t-lower-stem,1,1686,1,2.902,ok,290624,logs/043_base_part.SMCP-t-lower-stem_r1.log
44,base,_part.SMCP-t-top-stroke,1,1687,1,2.901,ok,290624,logs/044_base_part.SMCP-t-top-stroke_r1.log
45,base,_part.UC-F-upper,1,1687,1,2.936,ok,292412,logs/045_base_part.UC-F-upper_r1.log
46,base,_part.UC-F-upper-italic,1,1687,1,2.935,ok,291640,logs/046_base_part.UC-F-upper-italic_r1.log
47,base,_part.UC-Ge-cy-upper,1,1686,1,2.964,ok,290624,logs/047_base_part.UC-Ge-cy-upper_r1.log
48,base,_part.UC-Softsign-cy-bowl,1,1686,1,2.901,ok,290624,logs/048_base_part.UC-Softsign-cy-bowl_r1.log
49,base,_part.UC-T-lower-stem,1,1686,1,2.979,ok,290624,logs/049_base_part.UC-T-lower-stem_r1.log
50,base,_part.UC-T-lower-stem-italic,1,1686,1,2.928,ok,290624,logs/050_base_part.UC-T-lower-stem-italic_r1.log
51,base,_part.UC-T-top-bar,1,1687,1,2.933,ok,290624,logs/051_base_part.UC-T-top-bar_r1.log
52,base,_part.UC-T-top-bar-italic,1,1686,1,2.901,ok,290624,logs/052_base_part.UC-T-top-bar-italic_r1.log
53,base,_part.UC-T-upper-stroke,1,1686,1,2.925,ok,290624,logs/053_base_part.UC-T-upper-stroke_r1.log
54,base,_part.UC-alpha-latin-body,1,1686,1,2.901,ok,290624,logs/054_base_part.UC-alpha-latin-body_r1.log
55,base,_part.UC-stem,1,1689,1,2.924,ok,292732,logs/055_base_part.UC-stem_r1.log
56,base,_part.UC-stem-italic,1,1687,1,2.933,ok,292048,logs/056_base_part.UC-stem-italic_r1.log
57,base,_part.k-legs,1,1687,1,2.917,ok,291720,logs/057_base_part.k-legs_r1.log
58,base,_smart.Arrow.mid,1,1723,1,3.422,ok,295800,logs/058_base_smart.Arrow.mid_r1.log
59,base,_smart.ArrowHead,1,1685,1,2.889,ok,290624,logs/059_base_smart.ArrowHead_r1.log
60,base,_smart.ArrowHead.top,1,1687,1,2.966,ok,290624,logs/060_base_smart.ArrowHead.top_r1.log
61,base,_smart.DoubleArrow.mid,1,1692,1,2.952,ok,290800,logs/061_base_smart.DoubleArrow.mid_r1.log
62,base,_smart.FrombarArrow,1,1685,1,2.913,ok,290624,logs/062_base_smart.FrombarArrow_r1.log
63,base,_smart.LC-lambda-instroke,1,1693,1,2.987,ok,291736,logs/063_base_smart.LC-lambda-instroke_r1.log
64,base,_smart.VerticalArrow.mid,1,1687,1,2.929,ok,290624,logs/064_base_smart.VerticalArrow.mid_r1.log
65,base,_smart.bar,1,1719,1,2.986,ok,293084,logs/065_base_smart.bar_r1.log
66,base,_smart.braceleft,1,1710,1,3.023,ok,304692,logs/066_base_smart.braceleft_r1.log
67,base,_smart.bracketleft,1,1708,1,3.228,ok,296624,logs/067_base_smart.bracketleft_r1.log
68,base,_smart.circle,1,1689,1,3.07,ok,291940,logs/068_base_smart.circle_r1.log
69,base,_smart.contourIntegral,1,1685,1,3.044,ok,290624,logs/069_base_smart.contourIntegral_r1.log
70,base,_smart.coproduct,1,1685,1,3.799,ok,290624,logs/070_base_smart.coproduct_r1.log
71,base,_smart.dblIntegral,1,1685,1,3.969,ok,290624,logs/071_base_smart.dblIntegral_r1.log
72,base,_smart.integral,1,1685,1,3.731,ok,290624,logs/072_base_smart.integral_r1.log
73,base,_smart.integral.bottom,1,1686,1,3.576,ok,290624,logs/073_base_smart.integral.bottom_r1.log
74,base,_smart.integral.test,1,1688,1,3.442,ok,290624,logs/074_base_smart.integral.test_r1.log
75,base,_smart.integral.top,1,1686,1,3.483,ok,290624,logs/075_base_smart.integral.top_r1.log
76,base,_smart.lambdaitalic-math,1,1687,1,3.458,ok,291444,logs/076_base_smart.lambdaitalic-math_r1.log
77,base,_smart.leftFloor,1,1730,1,3.733,ok,298396,logs/077_base_smart.leftFloor_r1.log
78,base,_smart.minus,1,1692,1,3.545,ok,290624,logs/078_base_smart.minus_r1.log
79,base,_smart.minus.001,1,1686,1,3.5,ok,290624,logs/079_base_smart.minus.001_r1.log
80,base,_smart.multiply,1,1685,1,3.293,ok,290624,logs/080_base_smart.multiply_r1.log
81,base,_smart.multiply.circled,1,1685,1,2.992,ok,290624,logs/081_base_smart.multiply.circled_r1.log
82,base,_smart.operator.circled,1,1685,1,2.922,ok,290624,logs/082_base_smart.operator.circled_r1.log
83,base,_smart.parenleft,1,1709,1,3.025,ok,302936,logs/083_base_smart.parenleft_r1.log
84,base,_smart.plus,1,1685,1,3.034,ok,290624,logs/084_base_smart.plus_r1.log
85,base,_smart.plus.001,1,1685,1,2.972,ok,290624,logs/085_base_smart.plus.001_r1.log
86,base,_smart.plus.circled,1,1685,1,2.932,ok,290624,logs/086_base_smart.plus.circled_r1.log
87,base,_smart.plus.circled.001,1,1685,1,2.919,ok,290624,logs/087_base_smart.plus.circled.001_r1.log
88,base,_smart.product,1,1708,1,2.974,ok,290624,logs/088_base_smart.product_r1.log
89,base,_smart.quadrupleIntegral,1,1685,1,2.935,ok,290624,logs/089_base_smart.quadrupleIntegral_r1.log
90,base,_smart.radical,1,1707,1,2.966,ok,308548,logs/090_base_smart.radical_r1.log
91,base,_smart.summation,1,1707,1,2.95,ok,290624,logs/091_base_smart.summation_r1.log
92,base,_smart.tripleIntegral,1,1685,1,2.9,ok,290624,logs/092_base_smart.tripleIntegral_r1.log
93,base_repeat,_smart.dblIntegral,2,1685,1,2.918,ok,290624,logs/093_base_repeat_smart.dblIntegral_r2.log
94,base_repeat,_smart.dblIntegral,3,1685,1,2.92,ok,290624,logs/094_base_repeat_smart.dblIntegral_r3.log
95,base_repeat,_smart.coproduct,2,1685,1,2.935,ok,290624,logs/095_base_repeat_smart.coproduct_r2.log
96,base_repeat,_smart.coproduct,3,1685,1,2.928,ok,290624,logs/096_base_repeat_smart.coproduct_r3.log
97,base_repeat,_smart.leftFloor,2,1730,1,2.957,ok,298396,logs/097_base_repeat_smart.leftFloor_r2.log
98,base_repeat,_smart.leftFloor,3,1730,1,2.962,ok,298396,logs/098_base_repeat_smart.leftFloor_r3.log
99,base_repeat,_smart.integral,2,1685,1,2.922,ok,290624,logs/099_base_repeat_smart.integral_r2.log
100,base_repeat,_smart.integral,3,1685,1,2.891,ok,290624,logs/100_base_repeat_smart.integral_r3.log
101,base_repeat,_smart.integral.bottom,2,1686,1,2.931,ok,290624,logs/101_base_repeat_smart.integral.bottom_r2.log
102,base_repeat,_smart.integral.bottom,3,1686,1,2.921,ok,290624,logs/102_base_repeat_smart.integral.bottom_r3.log
