run_number,kind,target,repeat,glyph_count,smart_base_count,elapsed_seconds,status,font_size,log_file
1,focused,baseline,1,1685,0,3.057,ok,290624,logs/001_focused_baseline_r1.log
2,focused,baseline_plus__smart.multiply,1,1685,1,2.942,ok,290624,logs/002_focused_baseline_plus__smart.multiply_r1.log
3,focused,baseline,2,1685,0,2.985,ok,290624,logs/003_focused_baseline_r2.log
4,focused,baseline_plus__smart.multiply,2,1685,1,2.946,ok,290624,logs/004_focused_baseline_plus__smart.multiply_r2.log
5,focused,baseline,3,1685,0,2.954,ok,290624,logs/005_focused_baseline_r3.log
6,focused,baseline_plus__smart.multiply,3,1685,1,2.955,ok,290624,logs/006_focused_baseline_plus__smart.multiply_r3.log
7,focused,baseline,4,1685,0,2.949,ok,290624,logs/007_focused_baseline_r4.log
8,focused,baseline_plus__smart.multiply,4,1685,1,2.948,ok,290624,logs/008_focused_baseline_plus__smart.multiply_r4.log
9,focused,baseline,5,1685,0,3.005,ok,290624,logs/009_focused_baseline_r5.log
10,focused,baseline_plus__smart.multiply,5,1685,1,2.984,ok,290624,logs/010_focused_baseline_plus__smart.multiply_r5.log
