run_number,kind,target,repeat,glyph_count,smart_base_count,elapsed_seconds,status,font_size,log_file
219,forward,math___smart.circle+_smart.contourIntegral+_smart.dblIntegral+_smart.minus+_smart.multiply+_smart.multiply.circled+_smart.operator.circled+_smart.plus+_smart.plus.circled.001,1,1766,9,10.828,ok,291940,logs/219_forward_math___smart.circle__smart.contourIntegral__smart.dblIntegral__smart.minus__smart.multiply__smart.mu_r1.log
220,forward,math___smart.circle+_smart.contourIntegral+_smart.dblIntegral+_smart.minus+_smart.multiply+_smart.multiply.circled+_smart.operator.circled+_smart.plus+_smart.quadrupleIntegral,1,1765,9,9.918,ok,291940,logs/220_forward_math___smart.circle__smart.contourIntegral__smart.dblIntegral__smart.minus__smart.multiply__smart.mu_r1.log
221,forward,math___smart.circle+_smart.contourIntegral+_smart.dblIntegral+_smart.minus+_smart.multiply+_smart.multiply.circled+_smart.operator.circled+_smart.plus+_smart.tripleIntegral,1,1765,9,9.902,ok,291940,logs/221_forward_math___smart.circle__smart.contourIntegral__smart.dblIntegral__smart.minus__smart.multiply__smart.mu_r1.log
222,forward,math___smart.circle+_smart.contourIntegral+_smart.dblIntegral+_smart.integral+_smart.minus+_smart.multiply+_smart.multiply.circled+_smart.operator.circled+_smart.plus+_smart.plus.circled,1,1788,10,14.265,ok,291940,logs/222_forward_math___smart.circle__smart.contourIntegral__smart.dblIntegral__smart.integral__smart.minus__smart.mu_r1.log
223,forward,math___smart.circle+_smart.contourIntegral+_smart.dblIntegral+_smart.integral.bottom+_smart.minus+_smart.multiply+_smart.multiply.circled+_smart.operator.circled+_smart.plus+_smart.plus.circled,1,1789,10,14.195,ok,291940,logs/223_forward_math___smart.circle__smart.contourIntegral__smart.dblIntegral__smart.integral.bottom__smart.minus__s_r1.log
224,forward,math___smart.circle+_smart.contourIntegral+_smart.dblIntegral+_smart.integral.top+_smart.minus+_smart.multiply+_smart.multiply.circled+_smart.operator.circled+_smart.plus+_smart.plus.circled,1,1789,10,14.109,ok,291940,logs/224_forward_math___smart.circle__smart.contourIntegral__smart.dblIntegral__smart.integral.top__smart.minus__smar_r1.log
225,forward,math___smart.circle+_smart.contourIntegral+_smart.dblIntegral+_smart.minus+_smart.multiply+_smart.multiply.circled+_smart.operator.circled+_smart.plus+_smart.plus.001+_smart.plus.circled,1,1789,10,14.318,ok,291940,logs/225_forward_math___smart.circle__smart.contourIntegral__smart.dblIntegral__smart.minus__smart.multiply__smart.mu_r1.log
226,forward,math___smart.circle+_smart.contourIntegral+_smart.dblIntegral+_smart.minus+_smart.multiply+_smart.multiply.circled+_smart.operator.circled+_smart.plus+_smart.plus.circled+_smart.plus.circled.001,1,1789,10,14.813,ok,291940,logs/226_forward_math___smart.circle__smart.contourIntegral__smart.dblIntegral__smart.minus__smart.multiply__smart.mu_r1.log
227,forward,math___smart.circle+_smart.contourIntegral+_smart.dblIntegral+_smart.minus+_smart.multiply+_smart.multiply.circled+_smart.operator.circled+_smart.plus+_smart.plus.circled+_smart.quadrupleIntegral,1,1788,10,16.29,ok,291940,logs/227_forward_math___smart.circle__smart.contourIntegral__smart.dblIntegral__smart.minus__smart.multiply__smart.mu_r1.log
228,forward,math___smart.circle+_smart.contourIntegral+_smart.dblIntegral+_smart.minus+_smart.multiply+_smart.multiply.circled+_smart.operator.circled+_smart.plus+_smart.plus.circled+_smart.tripleIntegral,1,1788,10,14.223,ok,291940,logs/228_forward_math___smart.circle__smart.contourIntegral__smart.dblIntegral__smart.minus__smart.multiply__smart.mu_r1.log
